,Title,Rating,Review,Date
129,Greedy rise since pandemic,1,"This app used to be a very convenient way to get to & from work. But since the pandemic it seems like everyone’s taking advantage & hiking up prices by up to 5x. Seems a little ridiculous for a 5 minute ride to be $40-$50, especially when you work in the medical field & have patients waiting for you to treat them. Another day of missed work because there’s no benefit of paying so much just to work.",28-12-2020 15:30
130,No family option,3,"My app is current and downloaded , however I can’t add my 75 year old mom on a fixed income to my account. When I go to settings there is no “Family” option ! I have clicked on every option under settings— there is nothing about Family.",19-12-2020 03:07
131,No cars,1,"Used twice in the past and then when I really needed it there are no cars available. Then it tells me there is a error with my payment method. Don’t understand, it was the same as I used in the past! Ridiculous!!",27-11-2020 11:29
132,Fix your bug,3,ok so i ise uber to get to work 7/10 times a week. ive been experiencing a bug where i cant see how close or far my driver is. example: i got a driver and it says he'll be there in 13 minutes. ok cool so i wait and check 6 minutes later and it still says he'lll be there in 13 minutes. im like what the fuck its late im tryna go home after work yk so i send him this text and im like dude what the f?? are you coming or not? do i need to cancel? and then i check again and bam hes 1 minute away. i felt super bad and to make it worse he was an absolute sweetheart broken heart ,19-01-2021 05:21
133,A terrible fellow,1,"Worst customer service. Complicated app breach of privacy whoever bought them mafw a mistake 
They are more expensive then others . Ans rude 

Stay away !",16-12-2020 03:50
134,glitches,2,It doesn’t update the location at all. I’m in a ride as we speak and I don’t know where I’m going because it won’t update on the app even after being updated. That’s concerning,01-12-2020 20:33
135,Screw Uber,1,"On November 24, 2020, I landed at PDX and requested an Uber.  From my last fight two weeks ago, only Uber x drivers are allowed to pickup customers at the airport.  If you want to use the regular Uber, they direct you a quarter mile away for pickup.  This is a scam to make you pay for the more expensive Uber driver.  I never use them again.",25-11-2020 11:31
136,Love it but has been messing up,3,I been using Uber for a short time now and love it because it’s affordable but sometimes it tells me that my payment option won’t work even though I bought a Uber gift card,11-12-2020 04:01
137,Worst App I have ever seen!,1,"This App needs more intuitive user operations on allowing what Uber rewards  from the Uber credit card can be redeemed. It seems the App is totally disconnected from the Uber credit card but only focus on getting riders and eaters. There is no direct link or steps on how this App can be associated with the Uber credit card. It is a poor business model, many Uber customers would be disappointed, as a deceiving gimmick!

A Uber credit card user for three years",23-11-2020 21:19
138,3 stars,3,The app is very annoying it’s constantly moving my pick up spots even tho I have it programmed in. Drivers are never available unless you choose the more expensive option. And you can’t schedule a ride so u have to order and wait instead of having a car ready wen you are,10-01-2021 20:07
139,Share ride feature,1,Are you going to fix the share ride feature ASAP or keep putting us at risk?  It’s not working,10-12-2020 20:57
140,Garbage,1,Trip details don’t show up.,21-11-2020 05:01
141,idkk,2,me and my friend are trying to sneak out of our aunts house and dont have credit cards to put on the app and it wont let us pay with cash,28-12-2020 06:51
142,Uber takes advantage of loyal users,1,I have been a loyal customer with a 4.88 rating and have always said good things about them. I have not used Uber since the pandemic started and I noticed I was being charged for Uber pass without being signed up for it. Once I noticed I asked them to refund my money back to my credit card which they did for one of the two charges. They decided to give me a credit on my account which is not what I asked for. When I started telling people about this they had the same thing happen. I will never use them again because of this. They take advantage of loyal users.,10-12-2020 18:36
143,Just the worst,1,"It’s just so frustrating dealing with Uber. Pretty much every time I order a ride it put 2 holds on my card. Sometimes I just request a ride, it loads for a while, puts a hold on a card, keeps me waiting for minutes while Uber is allegedly “looking for a driver” and then it just throws me back to home page of the app. It’s impossible to reach support. Nope. Absolutely no way. Right now I’m trying to use my Tesla voucher listed as my payment method and Uber still keeps charging and double charging my card. I’d never go back to Uber if not for this voucher. Save yourself sometime and download Lyft or even call a regular cab - should be faster and cheaper",19-01-2021 07:27
144,Settings/Profile,1,"I don’t see (Profile) anymore in Settings!!

Family option is not accessible anymore!!",20-12-2020 18:16
145,won’t let me put payment method,1,how am I supposed to used this if I can’t put a payment method? thumbs down ,11-01-2021 01:01
146,Trip tonight,2,How horrible you are Jesus was on his way he canceled we couldn’t call him we’ve missed our flight with Southwest airlines I have saved the information both on his statement saying he’d be here in three minutes him canceling on us right before we needed to leave and the flight we missed with Southwest airlines this will go on Better Business Bureau and we will no longer need you,04-12-2020 01:57
147,don't ride,1,I’m a long time customer Now I’m trying to get a ride and for some reason I can’t comunícate with you,02-12-2020 16:45
148,What payment options do you accept?,1,"Ive tried using this app multiple times before, with many different cards from many different carriers and banks, and not once has it accepted my payment method. Mastercards and visas, us bank, credit union of colorado, wisely pay, global cash, none of them accepted. Rides are more expensive on this app than on lyft, take longer to arrive on average, and i cant think of a type of card this app might actually accept. 0/10 completely useless.",23-12-2020 12:02
149,,1,,06-12-2020 05:44
150,Updates,4,"Why are the updates sooo bloated now? Well over 200 Mb every time now (now it's up to 300). Lyft is at least not putting out so large of updates. And like Microsoft, just because you can make things bigger doesn't necessarily make them better. Please make the updates under 100 Mb again. Other than that, love the company!",11-12-2020 23:26
151,Canceled,2,Half Uber drivers keep cancelling. Really ridiculous.,10-01-2021 01:02
152,Above,1,This app is crap,05-12-2020 19:47
153,Horrible App!,1,"No instruction. Stressed me out from the minute I opened it until after I was dropped off. No place for my gate code, driver sent request for it but it disappeared and I had no idea how to find it. To payment without tip, then tried to hit me up for tip afterwards. Already tipped driver cash since app keeps everything secret. 
Wouldn’t let me use $2.50 discount claiming I wasn’t a new user, when I have NEVER IN MY LIFE EVEN CONTEMPLATED USING IT BEFORE THAT VERY DAY!!! 
VERY BAD EXPERIENCE. 
WILL NEVER USE AGAIN!",20-11-2020 22:11
154,App support so poor I don’t want to use Uber,1,"I took a recent ride, and had an issue when trying to tip via the usual link within the app — I received some error about an issue with my payment. When I tried to resolve via Uber’s app support, I received generic replies with basic instructions on how to use the app, again and again, regardless of how I attempted to respond/explain. The lack of an ability to address a real problem that’s outside of the support template Uber has put together is frustrating to say the least, and is the reason I won’t be using Uber any longer.",27-11-2020 15:59
155,Could not find bikes,1,Spent a solid 30 minutes walking around to find bikes... they were either missing or “down for maintenance. Thanks for wasting my time,17-01-2021 20:46
156,Can take forever to find a ride - Not for emergencies,2,"Uber drivers should NOT be allowed to set their own price—as they double what is the regular price for just a few blocks. There has to be a set money cap for distance.
I was going down a few blocks to my workplace, $10—said the estimation. Then as i’m awaiting a driver for them to pick, the drivers want to range the price up to $35.
I live in Koreatown, Los Angeles—hitching an Uber to PACOYMA is $30 —somehow going down a few blocks by USC should strike a value of $30?
Yeah, you got me messed up.
Some of these Uber drivers are straight up scammers..do not use this app in emergencies, as they will find away to push the price up $20 just for being grubby and incase of emergency you wont have the security of someone wanting to accept your price, you will simply be out an extra $20 because you needed to get to work, or maybe you were in what could be a suspicious situation.
Lyft. Use lyft. It can be cheaper, and they actually find you a ride in a timely manner.",17-01-2021 18:46
157,UBER EATS PLACE ORDER NEVER WORKS,1,The place order button on Uber eats never works and you don’t know until you’ve selected your whole order.  What a load of garbage.,20-12-2020 03:13
158,Few rides,1,I live outside of a big city (Charlotte NC) and can never find a ride. I’ve switched to Lyft and can get a ride within 15 minutes. Go with Lyft first,22-12-2020 05:11
159,Uber pass auto renew,1,"The week free trial of Uber Pass automatically charges you 24.99 as SOON as the week is over! No notification, BAD DESIGN.",20-11-2020 03:49
160,what the heck,1,This app just keeps randomly stealing my money. this past year has been hell. the worst bugs in the world. or maybe y’all have this do this on purpose. I know for a fact it’s illegal,22-11-2020 07:54
161,Why doesn't it work?,2,Because it doesn't work?,09-12-2020 21:10
162,Incorrect “Update Payment” Notifications,1,"The app keeps telling me to update my payment method - my credit card, saying that it is “about to expire.” However, my credit card doesn’t expire until 2024.

Can you please fix this? You guys are emailing me, sending notifications, etc, but you aren’t even correct about it. 

I already don’t want to support you because of Prop 22, but can you at least have a working app...?",14-12-2020 01:57
163,Family profile,1,Unfortunately I cannot add a family member for family sharing because the option does not show up in settings.  I have tried deleting the app and reinstalling  and the option in settings for family sharing is nonexistent,31-12-2020 23:09
164,Prices inflated,2,When I was on the app it told me $7-$15 estimated but in actuality it was $60. Just tell me the real price first. Also it took several minutes to even find a driver when there were 5 sitting at the Uber pick up at the airport.,20-12-2020 06:08
165,Drivers,2,Uber needs to stop letting drivers who are farther away than the actual distance of your destination. Had to wait 15-20 min to take a 5 min drive that completely missed my train,18-12-2020 18:03
166,Pricey,1,"Yes, this is a complaint. I was charged $24.99 per month and I do not remember signing up for an Uber pass. If I were Uber, I’d like to enforce a system to protect users from getting their credit card details stolen. There was fraud on my end and I do not appreciate how a company this big has bugs to fix. Fix this problem and if possible I’d like a refund.",01-12-2020 06:28
167,Horrible,1,I had to delete lift because the drivers never arrived or they are rude and now is the same with Uber they don’t show to the place are in bad mood and cancels the trip and on top of that Uber charge you bc he has to get something for the trip he make,19-12-2020 23:01
168,Not trustworthy,1,My card on file was used in San Francisco. Never been there. Reported fraud. I will never use Uber again,08-12-2020 05:38
169,Scheduled confirmation,2,You shouldn’t get a confirmation of a scheduled ride if there are no cars available. I confirmed a ride to the airport and it wasn’t until the car should have been there that it told me there wasn’t anyone available.,21-11-2020 10:33
170,Drivers Sitting Idle On Purpose,2,"If it were not for a good bit of drivers appearing to be on the way and then going to park somewhere and be idle, it would be alright. I can’t state enough how many times I’ve had to cancel and was charged a fee. It’s like they do it on purpose to collect free dollars or something. I don’t understand why they do that when it clearly asks them if they would like to accept the business or not.",14-01-2021 22:27
171,Can't sign in to existing account,1,As the title says. I put in my phone number and email. I'm told the email is already in use and don't give me an option to sign in... Great when you need it right now,31-12-2020 09:28
172,Update 14/01/2021: Support is horrible,1,"Been dealing with Uber support for over a week and it’s like a robot. Same response for them removing Family Profile and not realizing it.

Now it’s been over a month and they still haven’t realized Family Profile is missing.",14-01-2021 06:25
173,it was good,1,"The app is getting worse every day. Taking a long time to find drivers, when it does, the driver is far away or in the opposite direction.
I've been through horrible experiences, that's the problem with the lack of competition.",08-12-2020 04:32
174,Terrible cancel ride,1,Every time I order a ride it say it take longer than it expect then I cancel the ride it’s say I didn’t get charge but when I look at my bank account I did got charge for canceling the ride also I order a ride the prices get high hate this app,24-12-2020 01:53
175,Scheduled ride,1,There have been several times that I have scheduled a ride to be on time for work and your drivers just cancel the ride. Uber has literally caused me to be late several times and I think it’s pretty ridiculous that these drivers don’t get any kind of reprimand. If a driver except a ride that is scheduled they should not be able to cancel.,23-12-2020 10:59
176,Always showing wrong time and charge people money,2,"The time difference can be more then 10 mins, but continue showing wrong time estimate and charge people money",11-01-2021 00:16
177,I was charged $200 without authorization,1,"I requested an Uber for a short trip and they charged me for a cleaning fee and then another and another resulting in me being charged more than 200 dollars I asked for a refund and sent the proof and they do not want to give me the money back also every time I request an Uber He tells me an amount, I don't know why he reimbursed me, he charges me 15 dollars more, this has already happened to me several times, and I prefer not to use this app again because it has become a constant scam!!!!",05-01-2021 18:51
178,Worst ever app,1,There driver will cancel when you asked him to wait for you and put huge bill on you. The annoying part is that they will force you to use Uber card to pay for the cancellation and not allow you to pay the next driver.,02-12-2020 16:08
179,Great app but racist driver,4,My boyfriend needed a ride home from work and his Uber driver canceled because he was Arabic. Love the app and how it connects people but canceling a ride because of someone’s culture is disgusting.,16-01-2021 13:41
180,Idiot!,1,Worst App ever and you are THIEVES!!!,01-01-2021 23:59
181,Bad rating system.,2,I should not penalized for the length of wait time for pickup. GPS drop off locations are rarely correct.,21-01-2021 00:44
182,"Loving the new app, but not the customer support",5,"Love the new interface and Uber for Business tied directly to my companies expenses.  Great job!

Unfortunately, the inability to actually contact Uber directly and being forced to look through a list of glorified FAQs is not good customer support. If your issue is not in the predefined list you’re basically out of luck since their no one you can contact for help unless you’re a driver.",07-12-2020 17:40
183,Great except when most needed,1,"Works fine often enough, but when things get busy the app keeps promising a ride is nearby, but then it vaporizes without  explanation or apology. Much better luck with Lyft app. Also, the drivers rate you down even when you rate them well.",29-12-2020 01:24
184,Don’t use for Uber eats.,2,"I’ve used this app for Uber eats a couple times now and my order is either always wrong or never gets delivered. I don’t know if they just use terrible drivers or if there is an issue with the app itself. But for food, don’t use Uber eats.",16-01-2021 20:06
185,UberEats app UI is bad,1,"Uber main app is great but the integrated UberEats has many features missing and is buggy: can’t call driver, help button sometime doesn’t work, etc.",26-11-2020 07:13
186,A wonderful app most of the time,4,"This app works with me 90% of 50% of the time, and it’s amazing when it does. It’s saved my job a time or three, because I have a bad habit of leaving my wallet at home. However, it seems that it often leaves me hanging when I need a ride. Usually I can find a ride anyways but still, I have a 5-star rating and I seriously still can’t get a ride, just because I’m not going out-of-state? I can’t always pester a friend to drive me around, but I guess I was mistaken believing that this app would be consistent. Again, wonderful app but it seems to fail me a lot.",01-01-2021 02:03
187,Good Luck,1,"A couple years ago I was traveling out of state and when I attempted to order a ride it said my account was locked due to unusual use (may be a neat security feat. but it was my first time using the app so there was nothing to compare to). Either way, it left me stranded for a few hours while I was trying to work with the robot that is Customer Service, finally I gave up an called for a taxi service. That night I explained that I was traveling and it was me, they said they would fix the problem and DISABLED my account. Fast forward to today trying to get this to work again, after dealing with “customer service” again for the past week going in circles with the robot responses, their final email to me states they are deciding to not life the hold to an account I’ve never been able to use and have given no explanations for anything yet. If it were possible to give 0/5 stars, I would.",16-01-2021 16:25
188,Robbed by a driver,1,"I use Uber to get to my job at an assisted living facility. Come to find out a driver falsely said I’d left something in his car. Apparently this cost me 15 dollars but never left anything in a car. Apparently when you are robbed the clock starts ticking when Uber will even review your complaint. Apparently I was too late and this driver got away with robbing me. Guess being too busy caring for the elderly during a pandemic to double or triple check their drivers aren’t stealing from customers is not a good enough reason but hey they told me if it happens again be a bit faster with my complaint . If it happens again?! 
Update: Support reached out after telling me tough luck a number of times. Will keep results posted here. Update: so first they say nothing they can do after 30 days and now it 90 days. Uber is allowing their drivers to steal from customers. Horrible service.",02-01-2021 06:54
189,Drivers,1,"So one driver I had was pretty nice, but decided to not end the trip after dropping me off, charged me 30 dollars for a 8 dollar trip, and most of the drivers are ok and I thought this was a one time thing. Nope, most of them accept the trip and don’t even show up! I needed to get to work quickly and after 20 minutes of them going somewhere else, I said screw it. Lyft is way better!",03-01-2021 20:08
190,Always taking money,1,"This app has a lot of bugs , it seems like all they care about is money (duhh) if your driver can’t find you it charges you $5.. if you get over charged they don’t guarantee you will get your money back. I was charged twice for a $20 ride I never got. It was extremely difficult to find where I was even supposed to put my claim in at. When I finally did they didn’t even give my money back...that’s $40 and I had to find a ride home that night because I didn’t have enough money left to order a lyft. Will not get another dime out of me. ..... Trash customer service!!face with symbols on mouth ",05-01-2021 20:24
191,Unavailable,1,I’m not sure if it’s the terms and conditions but the destinations that I ALWAYS go to are unavailable now. I can no longer use Uber.,19-01-2021 00:03
192,Broken,1,"I had an emergency and needed to use this app. I tried putting in my debit card information, then it hit me with “Payment method unavailable. This payment method is unavailable at the moment. Please switch your payment method to request a ride.” I’m using a BoA Debit Card which is a common payment method! Why is Uber not letting me pay with that card? When going to Uber support, all they tell you is “You’re probably putting your payment info in wrong” all my stuff is correct! And if that doesn’t work, they tell you to “buy an Uber gift card OR use another payment method” WHAT?? They are making me jump through hoops just to get a ride. That’s it, I’m just going to use Lyft instead. STAY FAR AWAY FROM UBER",28-11-2020 18:44
193,I will never not be late,1,"I rely on Uber to get to work every morning, and no matter what I do, no matter how early I order I am always late. It’s absolutely unacceptable.",19-12-2020 22:43
194,Problems with Bikes,2,With the update the option to rent bikes is not working. Consistently getting a “sorry” message and no bikes appearing on the app,11-12-2020 18:03
195,Years of loyalty stripped away,1,I had been using Uber ever since it’s creation. I’ve relied on it to get to and from work especially during the pandemic as a essential worker. I was a diamond member and I monthly pass user and Uber Pass User. Most recently my debit card was stolen which lead to me unlinking my card when the new card came it was hacked and being used as a Master Card instead of a Visa. I reached out to customer service and they basically told me to unlink all of my methods of payment and to try to re link  methods of payment that would work. Someone even asked me to send pictures of the debit and credit cards I was trying to use.  Uber blocked me from linking any payments and being able to use my app. It’s been over a week and I’ve had to rely on other ride app shares that aren’t of quality or service. Uber customer service claims my case is pending.... while it’s pending I’m left with only lyft ride share app to use in my area which is typically more expensive and their drivers struggle to find their riders even with gps assistance. This has been a terrible experience especially considering how long I’ve been a loyal customer of Uber. I’m highly dissatisfied and disappointed,05-01-2021 14:03
196,A horrible company,1,"I think I understand why Uber drivers are not treating customers well. The CEOs of Uber are taking I think 30 to 35% of their payment, consequently there mistreating customers including lowering my rating as well.I think I’m going to start using a private car service instead of your cheap labor to the drivers rides. I’m not the only one that beer is this treatment. I’m sure a lot of customers are feeling this as well. In the beginning Uber used to treat me very well, but as time went on it became worse. I also don’t understand why my ratings keep going down. I’m always outside 99% of the time, very kind to the drivers, and A lot of times tip the drivers. I went from a 4.88 a year and a half ago and now I am a 4.64 dropping tremendously every day.It’s not only you it’s lyft as well.",03-12-2020 20:01
197,Mexico Uber,1,i live in mexico for over than 2 years didnt have a problem using uber but some of the days when I have to go where I need to go they don't pick up because of pesos are very low. so they wait until the price is high to answer the request,19-11-2020 16:23
198,No way to contact customer service if issues arise,1,You guys need to have a customer service phone line to contact if issues arise and persist! This is poor service trying to get help through articles that don’t help the exact issue we have!,19-01-2021 21:04
199,Price gouging,2,After needing a ride from the airport within 5 minutes the price went from $31 to $57. Just tired of business ripping people off and over charging.,28-12-2020 14:57
200,Festival,1,So I recently took a ride and some driver couldn’t complete the ride cuz it was too far for him. He wanted me to camel the ride but it would charge me extra money to pay him for doing nothing. The reasoning for the fee was “pay him for the time he wasted.” He wasted my time. I shouldn’t have to pay some guy who didn’t complete the services I would’ve payed him for. This is a feature that Lyft does way better. They’ll let the driver cancel if they need too or let the rider cancel without any fees because you shouldn’t pay for a service you didn’t receive.,18-12-2020 12:43
201,Fix the Uber Cash,1,Fix the Uber Cash.,08-12-2020 21:09
202,No happy,1,Why you are charging me monthly after I have stop auto renewal and and why you are charging me more amount for subscription,20-01-2021 02:18
203,Oh idk,3,"Why do y’all send me Uber’s that are all the way in Edmond and I live on the south I’m
Always late to work do y’all need more drivers or something !?? Other than that I love it the drivers are friendly but the timing is TERRIBLE.",09-01-2021 22:57
204,Customer service,2,"The app is terrible when it come to help , they act like you are getting help from a person when its really a automated service and then they don't even resolve the problem thats very resolve-able lyft is better tbh",19-01-2021 14:17
205,High prices,1,"Uber is ridiculous. They charge you a lot more when it’s busy. I got charged $22 for a 7 minute ride, the original price was $10. I’ve had Uber for a couple years now and they NEVER charged me more bc it was busy. It started during the pandemic which I think is so dumb and unfair. Never disliked a ride app this much until now.",19-11-2020 22:38
206,No cars,2,It’s convenient sometimes but when you need them there’s really no cars out,20-12-2020 17:17
207,Payment Glitch???,1,I was charged $24.99 for something that I never confirmed. I put in a help request but am not getting much of a response. Please help!,17-01-2021 21:29
208,Above,1,Why are there no riders all of a sudden hmmm face with monocle ,03-01-2021 01:47
209,Charging for cancellation,3,"I scheduled an Uber for 8:45-8:50. My driver came 20 minutes early. So I told him I’ll be out at 8:45 because that’s the time I scheduled for. He canceled and left. So when I canceled the Uber, they charged me for canceling when my driver was the one who left. Every time I scheduled an Uber, the driver wants me to leave 20 minutes early. I scheduled one for a reason, not to be at work 20 minutes early. I’ve been using Uber for years and since this scheduling has become a thing, drivers are being more impatient. They can see the time I scheduled for, yet they rush me to leave extremely early.",16-01-2021 13:36
210,Was attacked and charged for ride wasn’t in,1,I was waiting for my uber and was attacked and had my phone stolen. I was still charged for the uber and when I contacted support I was told that if I would not receive a refund and told “please be aware excessive or false refund and adjustment requests violate our refund policies and may result in the denial of future requests.” You think they would have some sympathy for someone who was attacked waiting for them to arrive.,11-01-2021 02:13
211,This is a prepaid phone and they can't wrap their heads around that,1,I just got this number and it was already registered to Uber from the previous person. Uber won't let me sign up with this number it keeps asking me to try to login and obviously I can't do that.  Customer support sends me the same generic message again and again they don't read my responses,26-11-2020 16:42
212,Awful,1,"Don’t waste your time with this app. They will not protect your privacy or security. They literally do not care. I went back and forth with Uber support when my account got hacked and all they did was send me the same scripted responses over and over. Eventually they stopped responding. I had to call the bank and cancel my card since Uber didn’t care to help me. Now theres someone out there using my name when they get Ubers. I could go on about horrible experiences with Uber. Just get Lyft, it’s FAR better.",11-01-2021 02:01
213,Lame,1,It was cool until they started tripling the price. Who’s gonna spend 60 dollars for a 9 mile ride? Lyft gain a customer. You guys lost one,26-11-2020 11:21
214,Scam scam scam,1,"Uber charged me for a ride a didn’t take for $30. After I emailed them 3x, and they refused the refund, they then accused me of making false statements. That’s just insulting and not customer service. I have been a customer since day 1 and spent thousands of dollars over the years with no complaints and this was the first time I had a dispute. I had a 4.86 rating so clearly no issues in the past. They lost a customer and I will be taking Lyft or via from now on. Don’t get scammed by them! ",28-12-2020 04:28
215,Thank you,5,Thank you to have created that app and put all The efforts and creativity to it,16-12-2020 19:57
216,Not able to schedule,1,I’m not able to schedule a ride. The app asks what payment I want to use to schedule a ride but it will not let me choose the option.,18-12-2020 22:31
217,Not enough drivers,1,"No matter where I am, or what time it is there’s never “drivers in my area” whenever I need to Uber",02-01-2021 02:22
218,"Dark, Greedy Interface Patterns",1,"The interface for ordering food within this application is overly rigid and forces the user into inconvenient situations when you need to edit an order.
 I was placing an order for delivery with my girlfriend (on her phone) and was at a different address than the last place we had ordered food from. Uber auto filled the address with the most recent and then, when I confirmed my order, gave me a two second timer to cancel with a warning saying “it looks like you’re not located near this delivery address”. I missed the cancel window (of literally two or three seconds) and then the app finalized the order and when I went to change the address, it would not allow me. When I went to cancel and reorder with the proper address, it said the fee would be $50 ( total cost of food minus fees). Mind you this is all within a minute of me placing the order, not 10 minutes after. 
What is this garbage? I know from ordering pickup through Uber (where Uber doesn’t collect fees) that I have to click TWO confirmation modals to confirm that I want pickup over delivery. Why then, when someone is clearly not near their selected delivery location, does Uber auto-confirm the order and then prevent any changes to the delivery address? This is clearly a tactic used to force users to keep their orders even when a mistake was made. How about adding a simple form to the application to change the order address? I’m a software developer and know that this was a decision made by a product team that chose higher revenue over customer satisfaction. That is a long term recipe for failure and loss of customer loyalty. I’m deleting this application. Good riddance",12-12-2020 00:46
219,I'm annoyed,1,There have already been several times that I have been overcharged in this application now they are charging me more than forty dollars more I want my money back,21-12-2020 20:59
220,Deceitful pricing surge caused me to leave Uber,1,"I was ordering a trip back home after dinner with family. The price listed was what I would expect, around $37. I order the ride, and this amount get charged to my card. The I see a pop up say that my ride will be more expensive. I accept, because I assume it a reasonable increase. However, THE APP NEVER SHOWS ME THE ACTUAL PRICE after the increase. It is only when I get home that I realize that my card has been charged an additional $127. I reach out to customer service, but I only get canned responses basically telling they are right to do that and to basically F off. This way of up charging felt deceptive and unethical. Had I been shown the final price after a BS 5x charge I would have immediately declined. 

Buyer beware of shady practices and obfuscated pricing increases!",30-11-2020 01:52
221,Give drivers rights,1,Shameful political lies and manipulation from uber and other deleting this,17-12-2020 17:27
222,Probably the worst customer service experience I’ve ever had,1,I’ve been getting charged $10 a month from uber for some pass I’ve never purchased and when I try to reach out and call customer service they told me to go on the app and of course I do. They take forever to respond or once they respond quickly they keep on switching people and telling me to do this and that to cancel the pass even though I’ve clearly told 10 people the same thing and even sent screenshots like I don’t understand what to do anymore,16-12-2020 08:30
223,problem with drivers,3,"The problem with the application has always been that the drivers make you wait a long time and in the end they just cancel, there should be a way to regulate that more",24-12-2020 03:00
224,It’s not good,1,"So many things with this app

I got charged twice for the same trip,
People can cancel on you even if they’re in the wrong location, they also charge your account a couple dollars without notice.",17-01-2021 00:37
225,nonconformity,2,"This App does not respect the agreed price, at the end of the trip the cost is higher than what is established, in the city of Queretaro the price is always changing, the more they ask for the more the trip costs and in other cities it is not like that, they should give the option to choose the driver, to be able to decide if I want to travel with him or not, since they assign drivers who are remote or with a bad reputation, fix that",03-12-2020 14:00
226,Guys,1,I’m getting upset with this one day y’all be taking $22 and then another day u take money of me I don’t know what’s going on I’m will like my money back and I’m not using this app no more,14-01-2021 14:46
227,Above,4,"The app is great 
I just hate when I request a ride and I cancel it because the driver hasn’t move for 10 minutes and they charge me anyway.",01-01-2021 04:23
228,Wow extreme waste of time.,1,"Expect extreme wait times and a complete lack of effort to find actually helpful drivers. This app will show you a price and the expand it’s price to obscene numbers, I do not recommend this app I actually recommend removing the option so you have less headache to deal with in the long run. The worst part is that they won’t refund you anything at all no matter how in the right you are unless you fight tooth and nail to make them follow their own policies. 0/10",22-12-2020 08:50
229,9.99 monthly nowhere to cancel!!!!,1,"Will not cancel after free week. 
No contact mail/phone!",03-01-2021 12:13
230,Sea,2,"What happened to not being charged if you canceled your requested trip? Uber has also gotten pricey. Remember UBER ain’t the only choice out there. I always tip my drivers, money ain’t the issue but really?",10-12-2020 13:34
231,Really?.,1,"I set up a ride a whole day before because I needed a ride to the airport I admit my house is a little far, it is outside the city that is why I scheduled beforehand. So I’m waiting, the pickup time comes around and it tells my no drivers are available and to schedule another ride. So now, I miss my flight. I have no reference on the Uber driver version and that is why all of a sudden no drivers are available at my pickup time but I think there needs be something fixed in this grey area.",19-12-2020 14:52
232,Wrong person picked up-refund refused,1,Customer service is terrible and there is no # to talk to someone. The driver picked up the wrong person and I was not able to get a refund I will not use this app again.,19-01-2021 04:45
233,Wait times are wildly inaccurate,3,Your Uber wait time will stick at 1 minute away die 5 minutes. You’d think they would update this as this is one of the most popular apps. Other than that it’s great,24-11-2020 18:19
234,The surcharge is at least 40$ when it’s busy,1,The fact that y’all add and remove Uber saver when y’all want upsets me...,19-11-2020 19:51
235,Worst customer service of all time,1,I really am not one to write app reviews but the customer service associated with the uber app has been a nightmare. I have been trying to get an issue resolved that stemmed from an error with their app redeeming uber cash from uber credit card rewards. They just continuously send the same automated messages and they tried to mark my issue as resolved multiple times without ever doing anything about it. On top of it all I am an uber gold member so this is allegedly their “priority support”. Really the worst customer service I have ever dealt with.,03-01-2021 19:39
236,Only use for short rides,3,"Anything longer than a few miles is going to stack up fast. Don’t even bother using the food section, you can’t cancel orders from the Uber app. You have to download UberEats to cancel any order, but just use DoorDash instead. It’s quicker, cheaper, and doesn’t Mickey Mouse you trying to cancel an order because there’s no drivers. I got $30 off a $34 order and still wound up having to pay $25 in fees. Then when I cancelled because my order was in limbo for two hours, I was charged a $6 cancellation fee where DoorDash gives you credit back. Wouldn’t recommend, just take the bus.",20-01-2021 00:25
237,This site is horrible!!!,1,"How do I delete my account, all I wanted to do is check a price from here to there, ... have a feeling I may have a $200+ charge!!  I have tried everything.
Please help... after paying $10 to go less than 1 mile, the driver was going to let me at this store that was very busy, (normally not!) so I felt I had to slide him more $$ like $12, plus tip on my card!  I had several ppl say “next time CALL ME!!!” lol, yeah, next time I will walk... face with symbols on mouth ",13-01-2021 10:48
238,Just you,1,"I started using Uber about 5 years ago when I lived in Miami. It wasn’t great then, but it’s surprisingly declined as far as service. There could be a driver near me, gets my ride, then cancels once they see the distance of my trip. That’s very disappointing, especially when the weathers bad. So therefore, most of my driver are more than 15 minutes away. And sometimes, they even cancel. If we could flag drivers, that would be helpful. I don’t want to be paired with someone determined to go south, when I’m headed north. Do better Uber",28-12-2020 19:23
239,Timing,1,God forbid you have to get an Uber to work u will be late even if you pay for ur driver to get there faster and confirm your ride 20 mins before DELETING,09-01-2021 18:52
240,Awesome,5,"App Store. People looking to download the app.
 After years of using the service Uber I must say they never let me down. I currently hold a 4.97 rating and my drivers really represent that. Holding each other to a certain standard when driving is important. As well as mutual respect. With uber being such a simple app to navigate really anyone can use it. It offers the change to also make the right choice. aAfter a night of drinking with buddies you can get a safe, reliable ride home using this app. This is the first time something like this has been available. OF course we have taxi service but it is not the same. Drivers often offer free water and phone charger upon arrival. After being out, charging your phone is a real treat due to it generally being dead. Not only do they have regular rides you can select different vehicle options at different price points. If you need a car for a larger party you can select that when placing your pickup location. For example you're spending the day snowboarding. On the app you can request a car with a ski rack to store your gear for a warm ride back to your lodge. Another advantage to it is you see the price of the ride before it's placed so it's not a surprise. All together I really enjoy this app as a safe way to travel and a reliable way as well. I would strongly recommend it and therefore I give it a 5 star rating.",07-12-2020 22:43
